strain	row_ID	col_ID	OD	limit_check	format_check	target_OD	transfer_volume_required	transfer_max_volume_check	correction_factor_volume	transfer_volume	sum_of_volumes	total_volume_check	total_volume_correction_factor	mimimum_transfer_volume_check	total_volume_fail	mimimum_transfer_volume_fail	format_fail	limit_fail	transfer_volume_fail	correction_factor_combined	error_type
donor	G	4	0.14959999999999998	TRUE	TRUE	0.1	200.5347593582888	FALSE	0.37100000000000005	74.39839572192516	424.39839572192517	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.37	transfer_volume_fail
donor	G	5	0.16649999999999998	TRUE	TRUE	0.1	180.1801801801802	FALSE	0.23916666666666656	43.09309309309308	393.0930930930931	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.24	transfer_volume_fail
donor	G	6	0.1155	TRUE	TRUE	0.1	259.7402597402597	FALSE	0.161	41.81818181818181	391.8181818181818	TRUE	1	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	0.16	limit_fail
donor	G	7	0.1984	TRUE	TRUE	0.1	151.20967741935485	FALSE	0.1294999999999999	19.581653225806438	369.5816532258065	TRUE	1	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	0.13	limit_fail
donor	G	8	0.2174	TRUE	TRUE	0.1	137.99448022079116	FALSE	0.048999999999999884	6.761729530818751	356.76172953081874	TRUE	1	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	0.05	limit_fail
donor	G	9	0.2342	TRUE	TRUE	0.1	128.09564474807857	FALSE	0.03616666666666655	4.632792485055493	354.6327924850555	TRUE	1	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	0.04	limit_fail
donor	G	10	0.1901	TRUE	TRUE	0.1	157.81167806417676	FALSE	0.03966666666666666	6.259863229879011	356.259863229879	TRUE	1	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	0.04	limit_fail
donor	G	11	0.2048	TRUE	TRUE	0	0	TRUE	1	0	0	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	G	12	0.2555	TRUE	TRUE	0	0	TRUE	1	0	0	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	H	1	0.1785	TRUE	TRUE	0.1	168.0672268907563	TRUE	1	168.0672268907563	192.95316633497032	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	H	2	0.21829999999999997	TRUE	TRUE	0.1	137.42556115437475	FALSE	0.9473333333333332	130.18781493357767	480.18781493357767	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.95	transfer_volume_fail
